HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
0.0,15.0,11.0,-2035.9522747821413,2.2562922349702734e-07
0.0,15.0,11.0,-2025.695311923025,2.2562922349702734e-07
3.2630204992033445,18.5,11.0,-1776.973216750056,2.2562922349702734e-07
8.0,18.5,11.0,-2014.910179801139,2.2562922349702734e-07
8.0,18.5,11.0,-2470.041793577646,2.2562922349702734e-07
8.0,18.5,11.0,-2890.196904135764,2.2562922349702734e-07
8.0,18.5,11.0,-3275.859382112042,2.2562922349702734e-07
6.155689818489441,18.5,11.0,-3554.8045294713397,2.2562922349702734e-07
4.693398340023032,18.5,11.0,-3670.424940625784,2.2562922349702734e-07
4.119524845595516,18.5,11.0,-3720.6007097061247,2.2562922349702734e-07
3.8952555127500545,18.5,11.0,-3738.74165212029,2.2562922349702734e-07
3.806792010530126,18.5,11.0,-3744.441088932411,2.2562922349702734e-07
3.7710827256197264,18.5,11.0,-3745.310192391338,2.2562922349702734e-07
3.755867191016796,18.5,11.0,-3744.3054322531084,2.2562922349702734e-07
3.809757579760481,18.5,11.0,-2237.1244459903605,2.2562922349702734e-07
3.899915375828391,18.5,11.0,-2226.461148497347,2.2562922349702734e-07
3.947937071987417,18.5,11.0,-2219.664643932895,2.2562922349702734e-07
3.9725928070396095,18.5,11.0,-2215.01425762444,2.2562922349702734e-07
3.984301461969926,18.5,11.0,-2211.5548795303707,2.2562922349702734e-07
3.988852547633769,18.5,11.0,-2208.755777308034,2.2562922349702734e-07
3.809167958683338,18.5,11.0,-3361.562319886543,2.2562922349702734e-07
3.5576287903617643,18.5,11.0,-3382.2304375238227,2.2562922349702734e-07
3.4585914726214018,18.5,11.0,-3388.926909464631,2.2562922349702734e-07
3.418792588085853,18.5,11.0,-3390.198758357925,2.2562922349702734e-07
3.402004999468136,18.5,11.0,-3389.365975480571,2.2562922349702734e-07
